SRM	
SPS1	
EXOSC10	
PMSCL2	
MTOR	
FRAP1	
SKS	
UBIAD1	Autosomal dominant
TERE1	Autosomal dominant
SCCD	Autosomal dominant
PTCHD2	
DISP3	
KIAA1337	
FBXO2	
FBX2	
FBG1	
NFB42	
FBXO44	
FBX44	
FBX6A	
FBG3	
FBXO6	
FBX6	
FBG2	
MAD2L2	
MAD2B	
DRAXIN	
C1orf187	
MTHFR	Autosomal recessive
MTHFR	Autosomal recessive
MTHFR	Autosomal dominant
MTHFR	Autosomal dominant
MTHFR	
CLCN6	
NPPA	Autosomal dominant
PND	Autosomal dominant
ANP	Autosomal dominant
ATFB6	Autosomal dominant
ATRST2	Autosomal dominant
NPPA	Autosomal recessive
PND	Autosomal recessive
ANP	Autosomal recessive
ATFB6	Autosomal recessive
ATRST2	Autosomal recessive
NPPB	
BNP	
PLOD1	Autosomal recessive
LH1	Autosomal recessive
LLH	Autosomal recessive
EDS6	Autosomal recessive
MFN2	Autosomal dominant; Autosomal recessive
KIAA0214	Autosomal dominant; Autosomal recessive
CMT2A2	Autosomal dominant; Autosomal recessive
HMSN6A	Autosomal dominant; Autosomal recessive
MFN2	Autosomal dominant
KIAA0214	Autosomal dominant
CMT2A2	Autosomal dominant
HMSN6A	Autosomal dominant
TNFRSF8	
CD30	
D1S166E	
TNFRSF1B	
TNFR2	
TNFBR	
GBD2	
DHRS3	
RETSDR1	
LRRC38	
PDPN	
TI1A	
T1A2	
GP36	
OTS8	
AGGRUS	
PRDM2	
RIZ	
EFHD2	
SWS1	
CTRC	Autosomal dominant
CLCR	Autosomal dominant
CELA2A	
ELA2A	
CELA2B	
ELA2B	
CASP9	
APAF3	
RSC1A1	
RS1	
SLC25A34	
FBLP1	
MIGFILIN	
SPEN	
MINT	
SHARP	
HIAA0929	
ANIB3	Autosomal dominant
EA8	Autosomal dominant
MEMO1	
ZBTB17	
ZNF151	
MIZ1	
HSPB7	
CVHSP	
CLCNKA	Digenic recessive
CLCNKB	Autosomal recessive
CLCNKB	Digenic recessive
EPHA2	Autosomal dominant
ECK	Autosomal dominant
ARCC2	Autosomal dominant
CTPP1	Autosomal dominant
CTPA	Autosomal dominant
ARCC2	Autosomal dominant
CTRCT6	Autosomal dominant
ARHGEF19	
WGEF	
FBXO42	
FBX42	
KIAA1332	
NECAP2	
TRNAG1	
TRG1	
NBPF1	
KIAA1693	
RNU1A	
RNU1	
TRNAE1	
TRNE	
TRE	
CROCC	
ROOTLETIN	
KIAA0445	
MFAP2	
MAGP	
MAGP1	
ATP13A2	Autosomal recessive
PARK9	Autosomal recessive
KRPPD	Autosomal recessive
CLN12	Autosomal recessive
ATP13A2	Autosomal recessive
PARK9	Autosomal recessive
KRPPD	Autosomal recessive
CLN12	Autosomal recessive
SDHB	
SDH2	
SDHIP	
PGL4	
CWS2	
SDHB	Isolated cases; Autosomal dominant
SDH2	Isolated cases; Autosomal dominant
SDHIP	Isolated cases; Autosomal dominant
PGL4	Isolated cases; Autosomal dominant
CWS2	Isolated cases; Autosomal dominant
SDHB	
SDH2	
SDHIP	
PGL4	
CWS2	
SDHB	Autosomal dominant
SDH2	Autosomal dominant
SDHIP	Autosomal dominant
PGL4	Autosomal dominant
CWS2	Autosomal dominant
SDHB	Autosomal dominant
SDH2	Autosomal dominant
SDHIP	Autosomal dominant
PGL4	Autosomal dominant
CWS2	Autosomal dominant
PADI2	
PADI1	
PADI3	
PADI4	
PADI5	
PAD	
PADI6	
ARHGEF10L	
GRINCHGEF	
KIAA1626	
PAX7	Autosomal recessive
RMS2	Autosomal recessive
TAS1R2	
T1R2	
ALDH4A1	Autosomal recessive
ALDH4	Autosomal recessive
P5CDH	Autosomal recessive
UBR4	
ZUBR1	
RBAF600	
KIAA1307	
AKR7A4	
AFAR3	
AKR7A3	
AFAR2	
AKR7A2	
AKR7	
AFAR	
PQLC2	
CAPZB	
CAPPB	
MINOS1	
MIO10	
MIC10	
D1S1733E	
DAN	
HTR6	
OTUD3	
KIAA0459	
PLA2G2A	Autosomal dominant
PLA2B	Autosomal dominant
PLA2L	Autosomal dominant
MOM1	Autosomal dominant
PLA2G5	Autosomal recessive
FRFB	Autosomal recessive
B6QTL1	
BFIS4	
BFIC4	
PLA2G2D	
SPLASH	
PLA2G2F	
UBXN10	
CAMK2N1	
MUL1	
MULAN	
C1orf166	
CDA	
PINK1	Autosomal recessive
PARK6	Autosomal recessive
DDOST	Autosomal recessive
OST	Autosomal recessive
OST48	Autosomal recessive
CDG1R	Autosomal recessive
KIF17	
KIAA1405	
HP1BP3	
HP1BP74	
EIF4G3	
EIF4GII	
ECE1	
ECE1	Multifactorial
NBPF3	
ALPL	Autosomal dominant; Autosomal recessive
HOPS	Autosomal dominant; Autosomal recessive
TNSALP	Autosomal dominant; Autosomal recessive
ALPL	Autosomal recessive
HOPS	Autosomal recessive
TNSALP	Autosomal recessive
ALPL	Autosomal recessive
HOPS	Autosomal recessive
TNSALP	Autosomal recessive
ALPL	Autosomal dominant; Autosomal recessive
HOPS	Autosomal dominant; Autosomal recessive
TNSALP	Autosomal dominant; Autosomal recessive
RAP1GA1	
HSPG2	Autosomal recessive
PLC	Autosomal recessive
SJS	Autosomal recessive
SJA	Autosomal recessive
SJS1	Autosomal recessive
HSPG2	Autosomal recessive
PLC	Autosomal recessive
SJS	Autosomal recessive
SJA	Autosomal recessive
SJS1	Autosomal recessive
CDC42	
TKS	
WNT4	Autosomal dominant
SERKAL	Autosomal dominant
WNT4	
SERKAL	
ZBTB40	
KIAA0478	
EPHA8	
EEK	
HEK3	
C1QA	Autosomal recessive
C1QC	Autosomal recessive
C1QG	Autosomal recessive
C1QB	Autosomal recessive
EPHB2	
EPHT3	
DRT	
ERK	
PCBC	
CAPB	
KDM1A	
LSD1	
AOF2	
BHC110	
KIAA0601	
CPRF	
LUZP1	
HTR1D	
HNRPR	
HNRNPR	
ZNF436	
KIAA1710	
TCEA3	
ASAP3	
UPLC1	
CENTB6	
DDEFL1	
ACAP4	
E2F2	
ID3	
MDS2	
RPL11	
DBA7	
TCEB3	
LYPLA2	
APT2	
GALE	Autosomal recessive
HMGCL	Autosomal recessive
FUCA1	Autosomal recessive
CNR2	
CB2	
CX5	
PNRC2	
SRSF10	
FUSIP1	
TASR	
TASR1	
TASR2	
IFNLR1	
IL28RA	
GRHL3	Autosomal dominant
SOM	Autosomal dominant
TFCP2L4	Autosomal dominant
VWS2	Autosomal dominant
STPG1	
MAPO2	
C1orf201	
RCAN3	
DSCR1L2	
MCIP3	
SRRM1	
SRM160	
RUNX3	
CBFA3	
PEBP2A3	
AML2	
SYF2	
P29	
RHD	
TMEM50A	
SMP1	
RHCE	
RHCE	
TMEM57	
FLJ10747	
LDLRAP1	
ARH	
FHCB2	
FHCB1	
MAN1C1	
SEPN1	Autosomal recessive
SELN	Autosomal recessive
RSMD1	Autosomal recessive
CFTD	Autosomal recessive
SEPN1	Autosomal dominant; Autosomal recessive
SELN	Autosomal dominant; Autosomal recessive
RSMD1	Autosomal dominant; Autosomal recessive
CFTD	Autosomal dominant; Autosomal recessive
PAQR7	
MPRA	
PGLP	
STMN1	
LAP18	
SMN	
PAFAH2	
EXTL1	
SLC30A2	Autosomal dominant
ZNT2	Autosomal dominant
TNZD	Autosomal dominant
TRIM63	
RNF28	
SMRZ	
MURF1	
PDIK1L	
ZNF593	
ZT86	
CNKSR1	
CNK1	
CATSPER4	
SH3BGRL3	
UBXN11	
SOC	
CD52	
CDW52	
ZNF683	
HOBIT	
LIN28	
LIN28A	
DHDDS	Autosomal recessive
HDS	Autosomal recessive
RP59	Autosomal recessive
HMGN2	
HMG17	
RPS6KA1	
RSK1	
ARID1A	
C1orf4	
B120	
SMARCF1	
MRD14	
PIGV	Autosomal recessive
HPMRS1	Autosomal recessive
SFN	
NUDC	
NR0B2	Multifactorial; Autosomal dominant; Autosomal recessive
SHP	Multifactorial; Autosomal dominant; Autosomal recessive
KDF1	
C1orf172	
SLC9A1	Autosomal recessive
NHE1	Autosomal recessive
APNH	Autosomal recessive
LIKNS	Autosomal recessive
SYTL1	
SLP1	
JFC1	
MAP3K6	
MAPKKK6	
ASK2	
FCN3	
HAKA1	
GPR3	
WASF2	
WAVE2	
SCAR2	
AHDC1	Autosomal dominant
MRD25	Autosomal dominant
EBVS1	
FGR	
SRC2	
G1P3	
IFI616	
PPP1R8	
NIPP1	
ARD1	
RPA2	
EYA3	
PTAFR	
ATP1F1	
IF1	
SEST2	
HI95	
MED18	
PHACTR4	
CHC1	
RCC1	
RNU17D	
U17HG	
RNU17A	
RNE1	
RNU17B	
TAF12	
GMEB1	
YTHDF2	
OPRD1	
EPB41	
EL1	
SRSF4	
SFRS4	
SRp75	
MECR	
NRBF1	
PTPRU	
GLEPP1	
PTPU2	
MATN1	
CRTM	
CMP	
LAPTM5	
SDC3	Multifactorial; Autosomal dominant; Autosomal recessive
SYND3	Multifactorial; Autosomal dominant; Autosomal recessive
SDCN	Multifactorial; Autosomal dominant; Autosomal recessive
PUM1	
KIAA0099	
NKAIN1	
SNRNP40	
SPF38	
PRPF8BP	
FABP3	
SERINC2	
TINAGL1	
TINAGRP	
HCRTR1	
OX1R	
PEF1	
COL16A1	
BAI2	
PTP4A2	
PTP4A	
PRL2	
HH13	
KHDRBS1	
SAM68	
KPNA6	
CCDC28B	Digenic recessive; Autosomal recessive
MGC1203	Digenic recessive; Autosomal recessive
EIF3I	
EIF3S2	
TRIP1	
LCK	Autosomal recessive
IMD22	Autosomal recessive
HDAC1	
RPD3L1	
MARCKSL1	
MLP	
MRP	
TSSK3	
STK22C	
STK22D	
ZBTB8OS	
ARCH	
SYNC1	
YARS	Autosomal dominant
CMTDIC	Autosomal dominant
TYRRS	Autosomal dominant
YTS	Autosomal dominant
YRS	Autosomal dominant
S100PBP	
S100PBPR	
FNDC5	
FRCP2	
HPCA	Autosomal recessive
DYT2	Autosomal recessive
IBRDC3	
NKLAM	
AK2	Autosomal recessive
AZIN2	
ODC1L	
KIAA1945	
TRIM62	
DEAR1	
CSMD2	
KIAA1884	
CTRCT34	
CATC3	
GBD3	
MACST	
GJB5	
CX31.1	
GJB4	Autosomal dominant; Autosomal recessive
CX30.3	Autosomal dominant; Autosomal recessive
GJB3	Autosomal dominant
CX31	Autosomal dominant
DFNA2B	Autosomal dominant
GJB3	
CX31	
DFNA2B	
GJB3	
CX31	
DFNA2B	
GJB3	Autosomal recessive; Digenic dominant
CX31	Autosomal recessive; Digenic dominant
DFNA2B	Autosomal recessive; Digenic dominant
GJB3	Autosomal dominant; Autosomal recessive
CX31	Autosomal dominant; Autosomal recessive
DFNA2B	Autosomal dominant; Autosomal recessive
GJA4	
CX37	
ZMYM6	
ZNF258	
SFPQ	
PSF	
ZMYM4	
ZNF262	
KIAA0425	
KIAA0319L	
KIAA1837	
NCDN	
KIAA0607	
TFAP2E	
PSMB2	
CLASPIN	
EIF2C4	
AGO4	
KIAA1567	
EIF2C1	
GERP95	
EIF2C	
EIF2C3	
AGO3	
ADPRHL2	
ARH3	
COL8A2	Autosomal dominant
FECD1	Autosomal dominant
PPCD2	Autosomal dominant
COL8A2	
FECD1	
PPCD2	
TRAPPC3	
BET3	
THRAP3	
TRAP150	
STK40	
SHIK	
NOR1	
MRPS15	
CSF3R	Autosomal dominant
GCSFR	Autosomal dominant
GRIK3	
GLUR7	
ZC3H12A	
MCPIP	
MCPIP1	
MEAF6	
C1orf149	
EAF6	
SNIP1	Autosomal recessive
PMRED	Autosomal recessive
DNALI1	
P28	
GNL2	
NGP1	
RSPO1	
FLJ40906	
RSPO1	
FLJ40906	
C1orf109	
CDCA8	
EPHA10	
YRDC	
IRIP	
MTF1	
INPP5B	
SF3A3	
SF3A60	
SAP61	
PRP9	
FHL3	
SLIM2	
UTP11L	
CGI94	
POU3F1	
RRAGC	
RAGC	
MYCBP	
GJA9	
CX59	
AKIRIN1	
NDUFS5	
MACF1	
ACF7	
KIAA1251	
PABPC4	
PABP4	
IPABP	
APP1	
HEYL	
NT5C1A	
CN1A	
CNI	
CN1	
PPIE	
CYP33	
BMP8B	
OP2	
OXCT2	
FLJ0030	
MYCL	
LMYC	
MFSD2A	Autosomal recessive
MCPH15	Autosomal recessive
PPT1	Autosomal recessive
CLN1	Autosomal recessive
RLF	
ZMPSTE24	Autosomal recessive
FACE1	Autosomal recessive
STE24	Autosomal recessive
MADB	Autosomal recessive
ZMPSTE24	Autosomal recessive
FACE1	Autosomal recessive
STE24	Autosomal recessive
MADB	Autosomal recessive
COL9A2	Autosomal recessive
EDM2	Autosomal recessive
STL5	Autosomal recessive
COL9A2	Autosomal dominant
EDM2	Autosomal dominant
STL5	Autosomal dominant
COL9A2	
EDM2	
STL5	
RIMS3	
NIM3	
KIAA0137	
NFYC	
CBFC	
MIR30C1	
KCNQ4	Autosomal dominant
DFNA2A	Autosomal dominant
CITED4	
CTPS1	
CTPS	
IMD24	
SCMH1	
FOXO6	
EDN2	
HIVEP3	
KRC	
GUCA2B	
UGN	
GUCA2A	
GUCA2	
FOXJ3	
KIAA1041	
PPCS	
PPIH	
YBX1	
NSEP1	
YB1	
DBPB	
CLDN19	Autosomal recessive
HOMG5	Autosomal recessive
P3H1	Autosomal recessive
LEPRE1	Autosomal recessive
GROS1	Autosomal recessive
OI8	Autosomal recessive
ERMAP	
SC	
RD	
ERMAP	
SC	
RD	
HTLVR	
SLC2A1	Autosomal dominant
GLUT1	Autosomal dominant
DYT18	Autosomal dominant
PED	Autosomal dominant
GLUT1DS	Autosomal dominant
EIG12	Autosomal dominant
DYT9	Autosomal dominant
SDCHCN	Autosomal dominant
SLC2A1	Autosomal dominant; Autosomal recessive
GLUT1	Autosomal dominant; Autosomal recessive
DYT18	Autosomal dominant; Autosomal recessive
PED	Autosomal dominant; Autosomal recessive
GLUT1DS	Autosomal dominant; Autosomal recessive
EIG12	Autosomal dominant; Autosomal recessive
DYT9	Autosomal dominant; Autosomal recessive
SDCHCN	Autosomal dominant; Autosomal recessive
SLC2A1	Autosomal dominant
GLUT1	Autosomal dominant
DYT18	Autosomal dominant
PED	Autosomal dominant
GLUT1DS	Autosomal dominant
EIG12	Autosomal dominant
DYT9	Autosomal dominant
SDCHCN	Autosomal dominant
SLC2A1	Autosomal dominant
GLUT1	Autosomal dominant
DYT18	Autosomal dominant
PED	Autosomal dominant
GLUT1DS	Autosomal dominant
EIG12	Autosomal dominant
DYT9	Autosomal dominant
SDCHCN	Autosomal dominant
SLC2A1	Autosomal dominant
GLUT1	Autosomal dominant
DYT18	Autosomal dominant
PED	Autosomal dominant
GLUT1DS	Autosomal dominant
EIG12	Autosomal dominant
DYT9	Autosomal dominant
SDCHCN	Autosomal dominant
EBNA1BP2	
EBP2	
WDR65	
TIE	
JTK14	
TIE1	
MPL	
TPOR	
MPLV	
THCYT2	
MPL	Somatic mutation; Autosomal dominant
TPOR	Somatic mutation; Autosomal dominant
MPLV	Somatic mutation; Autosomal dominant
THCYT2	Somatic mutation; Autosomal dominant
MPL	Autosomal recessive
TPOR	Autosomal recessive
MPLV	Autosomal recessive
THCYT2	Autosomal recessive
CDC20	
ELOVL1	
SSC1	
MED8	
SZT2	Autosomal recessive
KIAA0467	Autosomal recessive
EIEE18	Autosomal recessive
PTPRF	Autosomal recessive
LAR	Autosomal recessive
BNAH2	Autosomal recessive
KDM4A	
JMJD2A	
JHDM3A	
KIAA0677	
PTOS1	Autosomal dominant
ST3GAL3	Autosomal recessive
SIAT6	Autosomal recessive
ST3GALII	Autosomal recessive
MRT12	Autosomal recessive
EIEE15	Autosomal recessive
ST3GAL3	
SIAT6	
ST3GALII	
MRT12	
EIEE15	
IPO13	
IMP13	
KIAA0724	
RANBP13	
DPH2	
DPH2L2	
ATP6V0B	
ATP6F	
B4GALT2	
SLC6A9	
GLYT1	
ZNF393	
DNMAP1	
DMAP1	
PRNPIP	
PINT1	
RNF220	
KIF2C	
KNSL6	
MCAK	
RPS8	
BEST4	
VMD2L2	
PLK3	
CNK	
PRK	
TCTEX1D4	
PTCH2	
PTCH2	Autosomal dominant
PTCH2	Autosomal dominant
EIF2B3	Autosomal recessive
UROD	Autosomal dominant
UROD	Autosomal dominant
MUTYH	
MYH	
MUTYH	Somatic mutation
MYH	Somatic mutation
MUTYH	
MYH	
TOE1	
TESK2	
MMACHC	Autosomal recessive
PAGA	
AKR1A1	
ALR	
NASP	
IPP	
MAST2	
MAST205	
KIAA0807	
PIK3R3	
TSPAN1	
NET1	
POMGNT1	Autosomal recessive
MEB	Autosomal recessive
MDDGA3	Autosomal recessive
MDDGB3	Autosomal recessive
MDDGC3	Autosomal recessive
POMGNT1	Autosomal recessive
MEB	Autosomal recessive
MDDGA3	Autosomal recessive
MDDGB3	Autosomal recessive
MDDGC3	Autosomal recessive
POMGNT1	Autosomal recessive
MEB	Autosomal recessive
MDDGA3	Autosomal recessive
MDDGB3	Autosomal recessive
MDDGC3	Autosomal recessive
LURAP1	
LRAP35A	
RAD54L	
HR54	
HRAD54	
RAD54L	
HR54	
HRAD54	
RAD54L	Autosomal dominant
HR54	Autosomal dominant
HRAD54	Autosomal dominant
BMND14	
FWS	Autosomal recessive
OFC13	Autosomal dominant
RHDNS1	Autosomal dominant
SKINTL	
SKINTP	
UQCRH	
NSUN4	
FAAH	
DMBX1	
OTX3	
KNCN	
KINO	
L5	
MKNK1	
MNK1	
CYP4B1	
CYP4A11	
CYP4X1	
CYPIVX1	
CYP4A22	
MAP17	
TAL1	
TCL5	
SCL	
STIL	Autosomal recessive
SIL	Autosomal recessive
MCPH7	Autosomal recessive
CMPK1	
CMPK	
UMPK	
UMK	
CMK	
FOXE3	Autosomal dominant
FKHL12	Autosomal dominant
ASMD	Autosomal dominant
FOXE3	Autosomal recessive
FKHL12	Autosomal recessive
ASMD	Autosomal recessive
FOXD2	
FKHL17	
FREAC9	
TRABD2B	
TIKI2	
SPATA6	
SRF1	
HASH	
AGBL4	
CCP6	
ELAVL4	
HUD	
PNEM	
DEL1p32p31	Isolated cases
C1DELp32p31	Isolated cases
PARK10	
AAOPD	
SCA37	Autosomal dominant
STQTL23	
DMRTA2	
FAF1	
HFAF1	
CDKN2C	
INK4C	
