SOD1	 Autosomal dominant; Autosomal recessive 
 ALS1	 Autosomal dominant; Autosomal recessive 
NEFH	 Autosomal dominant; Autosomal recessive 
TRPM7	 Autosomal dominant 
 LTRPC7	 Autosomal dominant 
 CHAK	 Autosomal dominant 
 ALSPDC	 Autosomal dominant 
C9orf72	 Autosomal dominant 
 FTDALS	 Autosomal dominant 
 ALSFTD	 Autosomal dominant 
RPS19	 Autosomal dominant 
 DBA	 Autosomal dominant 
 DBA1	 Autosomal dominant 
UBE3A	 Isolated cases 
 ANCR	 Isolated cases 
CDKL5	 Isolated cases 
 STK9	 Isolated cases 
 ISSX	 Isolated cases 
 EIEE2	 Isolated cases 
MECP2	 Isolated cases 
 RTT	 Isolated cases 
 PPMX	 Isolated cases 
 MRX16	 Isolated cases 
 MRX79	 Isolated cases 
 AUTSX3	 Isolated cases 
 MRXSL	 Isolated cases 
 MRXS13	 Isolated cases 
 MRX79	 Isolated cases 
 MRX16	 Isolated cases 
C1NH	 Autosomal dominant 
 HAE1	 Autosomal dominant 
 HAE2	 Autosomal dominant 
 SERPING1	 Autosomal dominant 
ITPR2	 Autosomal recessive 
 ANHD	 Autosomal recessive 
ELP4	 Autosomal dominant 
 PAX6NEB	 Autosomal dominant 
 AN	 Autosomal dominant 
PAX6	 Autosomal dominant 
 AN2	 Autosomal dominant 
 MGDA	 Autosomal dominant 
 FVH1	 Autosomal dominant 
PAX6	 Autosomal dominant 
 AN2	 Autosomal dominant 
 MGDA	 Autosomal dominant 
 FVH1	 Autosomal dominant 
TP63	 Autosomal dominant 
 TP73L	 Autosomal dominant 
 KET	 Autosomal dominant 
 EEC3	 Autosomal dominant 
 SHFM4	 Autosomal dominant 
 LMS	 Autosomal dominant 
 RHS	 Autosomal dominant 
 OFC8	 Autosomal dominant 
HLA-B	 Multifactorial 
 SPDA1	 Multifactorial 
MSX1	 Autosomal dominant 
 HOX7	 Autosomal dominant 
 HYD1	 Autosomal dominant 
 OFC5	 Autosomal dominant 
 STHAG1	 Autosomal dominant 
 ECTD3	 Autosomal dominant 
FOXE3	 Autosomal dominant 
 FKHL12	 Autosomal dominant 
 ASMD	 Autosomal dominant 
PITX3	 Autosomal dominant 
 CTPP4	 Autosomal dominant 
 CTRCT11	 Autosomal dominant 
SALL1	 Autosomal dominant 
 HSAL1	 Autosomal dominant 
 TBS	 Autosomal dominant 
SALL1	 Autosomal dominant 
 HSAL1	 Autosomal dominant 
 TBS	 Autosomal dominant 
BMS1	 Autosomal dominant; Autosomal recessive 
 BMS1L	 Autosomal dominant; Autosomal recessive 
 KIAA0187	 Autosomal dominant; Autosomal recessive 
 ACC	 Autosomal dominant; Autosomal recessive 
TGFB3	 Autosomal dominant 
 ARVD1	 Autosomal dominant 
 RNHF	 Autosomal dominant 
IL6	 Autosomal dominant 
 IFNB2	 Autosomal dominant 
 BSF2	 Autosomal dominant 
 HSF	 Autosomal dominant 
 HGF	 Autosomal dominant 
TPM2	 Autosomal dominant 
 TMSB	 Autosomal dominant 
 AMCD1	 Autosomal dominant 
 DA1	 Autosomal dominant 
 DA2B	 Autosomal dominant 
 NEM4	 Autosomal dominant 
PIEZO2	 Autosomal dominant 
 FAM38B	 Autosomal dominant 
 DA5	 Autosomal dominant 
 DA3	 Autosomal dominant 
 MWKS	 Autosomal dominant 
COL2A1	 Autosomal dominant 
CACNA1A	 Autosomal dominant 
 CACNL1A4	 Autosomal dominant 
 SCA6	 Autosomal dominant 
VAMP1	 Autosomal dominant 
 SYB1	 Autosomal dominant 
 SPAX1	 Autosomal dominant 
FLNB	 Isolated cases 
 SCT	 Isolated cases 
 AOI	 Isolated cases 
 LRS1	 Isolated cases 
FLNB	 Autosomal dominant 
 SCT	 Autosomal dominant 
 AOI	 Autosomal dominant 
 LRS1	 Autosomal dominant 
GJA5	 Autosomal dominant 
 CX40	 Autosomal dominant 
 ATFB11	 Autosomal dominant 
NKX2-5	 Autosomal dominant 
 NKX2E	 Autosomal dominant 
 CSX	 Autosomal dominant 
 CHNG5	 Autosomal dominant 
 VSD3	 Autosomal dominant 
 HLHS2	 Autosomal dominant 
TEAD1	 Autosomal dominant 
 TCF13	 Autosomal dominant 
 REF1	 Autosomal dominant 
ATXN3	 Autosomal dominant 
